season,playerId,player,teamId,drblP,drblLn,drblB,rawAbilityRate,fusedRateRaw,fusionDelta,posteriorAbilityRate,drbl100,possessions
2024-25,1630531,Jaden Springer,1610612738,-0.04,0.22,-0.44,-0.0493,0.63,0.6793,0.5546,0.5546,1472
2024-25,1629014,Anfernee Simons,1610612757,0.25,-0.61,0.11,0.2504,-0.13,-0.3804,-0.1273,-0.1273,9310
2024-25,1628978,Donte DiVincenzo,1610612750,0.4,0.26,0.15,0.4146,-0.08,-0.49460000000000004,-0.0777,-0.0777,6658
2024-25,1628366,Lonzo Ball,1610612741,0.36,3.3,0.11,0.3799,0.1,-0.27990000000000004,0.0944,0.0944,3363
2024-25,1631255,Karlo Matković,1610612740,0.65,2.44,0.04,0.687,0.11,-0.5770000000000001,0.1036,0.1036,3253
2024-25,1641711,Gradey Dick,1610612761,-0.2,-0.19,-0.04,-0.209,-0.09,0.119,-0.0874,-0.0874,6624
2024-25,1641774,Tristan Vukcevic,1610612764,0.62,-0.37,-0.15,0.6772,0.29,-0.38720000000000004,0.265,0.265,2122
2024-25,1630170,Devin Vassell,1610612759,0.19,-2.93,0.03,0.1977,-0.12,-0.3177,-0.1171,-0.1171,7989
2024-25,1631095,Jabari Smith Jr.,1610612745,0.08,-0.5,-0.16,0.0842,-0.1,-0.1842,-0.0972,-0.0972,6903
2024-25,1629021,Moritz Wagner,1610612753,1.41,-0.73,-0.48,1.5326,0.2411,-1.2914999999999999,0.2216,0.2216,2282
2024-25,1641730,Noah Clowney,1610612751,-0.34,-1.78,-0.21,-0.3566,0,0.3566,0,0,4216
2024-25,203114,Khris Middleton,1610612749,0.41,0.82,-0.01,0.4339,0.05,-0.3839,0.0473,0.0473,3552
2024-25,1629622,Max Strus,1610612739,-0.05,0.93,0.1,-0.0531,-0.06,-0.006899999999999996,-0.0578,-0.0578,5381
2024-25,1629011,Mitchell Robinson,1610612752,0.86,1.09,0.11,1.0062,0.795,-0.21119999999999994,0.6762,0.6762,1139
2024-25,1628470,Torrey Craig,1610612741,0.02,-2.46,-0.05,0.024,0.67,0.646,0.5785,0.5785,1265
2024-25,1641741,Ricky Council IV,1610612755,-0.88,1.04,-0.28,-0.9109,-0.05,0.8609,-0.0481,-0.0481,5086
2024-25,1630163,LaMelo Ball,1610612766,-0.03,0.08,0.2,-0.036,-0.09,-0.054,-0.0872,-0.0872,6267
2024-25,1641810,Antonio Reeves,1610612740,0.82,2.2,0,0.8799,0.14,-0.7399,0.1304,0.1304,2711
2024-25,1627741,Buddy Hield,1610612744,0.44,-0.77,0.08,0.4482,-0.12,-0.5682,-0.1169,-0.1169,7528
2024-25,1631218,Trayce Jackson-Davis,1610612744,0.12,-0.96,-0.31,0.1249,-0.01,-0.1349,-0.0095,-0.0095,4137
2024-25,1631209,Isaiah Wong,1610612766,-0.14,2.31,-0.26,-0.167,0.7462,0.9132,0.6338,0.6338,1127
2024-25,1626162,Kelly Oubre Jr.,1610612755,0.19,-0.49,-0.2,0.1953,-0.14,-0.33530000000000004,-0.1367,-0.1367,8388
