season,band,player,P400,PFull,LN400,LNFull,B400,BFull,fused400,fusedFull,posterior400,posteriorFull,rank400,rankFull,fusionDelta,posteriorDelta
2025-26,largest_fall,PJ Hall,1.1,-1.75,0.23,-2.03,0.1,0.2,0.6645,-1.4677,0.253,-1.1979,130,554,0.6704999999999999,0.26980000000000004
2025-26,largest_fall,Danny Wolf,-0.58,-0.45,2.38,0.73,0.03,-0.08,0.79,-0.62,0.6427,-0.5956,43,464,-0.1521,0.024399999999999977
2025-26,largest_fall,Jaime Jaquez Jr.,0.1,-0.63,1.94,2.05,-0.4,-0.23,0.53,-0.66,0.5013,-0.6458,66,479,-0.019299999999999984,0.01419999999999999
2025-26,largest_fall,Isaiah Livers,-0.07,-0.98,2.02,-1.22,0.12,-0.08,0.7449,-0.63,0.5869,-0.5558,48,459,0.47640000000000005,0.07420000000000004
2025-26,largest_fall,JD Davison,-1.76,-1.13,-0.38,0.35,0.1,-0.02,0.62,-0.85,0.3685,-0.6893,94,484,0.549,0.16069999999999995
2025-26,largest_fall,Jett Howard,0.67,-0.8,0.09,0.5,0,-0.22,0.3,-0.83,0.2373,-0.7736,133,502,0.027100000000000013,0.056400000000000006
2025-26,largest_fall,De'Andre Hunter,-0.28,-0.71,-0.42,-1.61,0.04,-0.05,0.16,-0.9109,0.15,-0.8761,174,526,-0.17600000000000005,0.03480000000000005
2025-26,largest_fall,Jordan McLaughlin,0.57,-1.65,-0.8,-5.94,-0.1,-0.23,0.34,-0.86,0.2221,-0.7314,146,493,1.0762,0.12859999999999994
2025-26,largest_fall,Craig Porter Jr.,0.4,-0.9,-1.52,-1.67,0.19,-0.18,0.29,-0.61,0.2596,-0.5853,122,462,0.32689999999999997,0.024699999999999944
2025-26,largest_fall,Marcus Smart,-0.11,-0.37,3.71,5.37,-0.09,-0.15,0.09,-0.99,0.0818,-0.9638,197,536,-0.6089,0.0262
2025-26,largest_fall,Santi Aldama,0.58,0.04,-2.22,-2.26,0,-0.09,0.17,-0.8384,0.1596,-0.8049,169,507,-0.882,0.033500000000000085
2025-26,largest_fall,Gary Harris,-0.27,-0.43,-0.25,-0.72,-0.23,-0.2,0.33,-0.57,0.2794,-0.5301,116,448,-0.11219999999999997,0.039899999999999936
2025-26,largest_fall,Zaccharie Risacher,-0.36,-0.22,1.86,-3.07,0,-0.18,0.34,-0.47,0.3171,-0.456,102,420,-0.24099999999999996,0.013999999999999957
2025-26,largest_fall,Tyrese Martin,-1.59,-1.11,-0.29,-1.39,0.01,-0.21,0.11,-0.85,0.1002,-0.7977,193,509,0.3295,0.05230000000000001
