season,playerId,playerName,N,ApproachBAttributedValue,rawAbilityRate,validatedDRBL100,R1Points,R1WinEquivalents,r1PointsPerWin
2023-24,1631220,Dereon Seabron,219,6.307783902015816,2.8803,0.35,6.307783902015816,0.16824946406626046,37.490662671779255
2023-24,203081,Damian Lillard,10872,43.247709634456214,0.3978,0.35,43.247709634456214,1.153559487947129,37.490662671779255
2023-24,1629726,Garrison Mathews,4170,19.99536795894849,0.4795,0.35,19.99536795894849,0.5333426121059155,37.490662671779255
2023-24,1629685,Dylan Windler,441,6.770432851155391,1.5352,0.33,6.770432851155391,0.18058984207424456,37.490662671779255
2023-24,1629130,Duncan Robinson,7651,29.9379255042994,0.3913,0.32,29.9379255042994,0.7985435137916326,37.490662671779255
2023-24,203490,Otto Porter Jr.,731,7.511936638701901,1.0276,0.32,7.511936638701901,0.20036820112962261,37.490662671779255
2023-24,1628391,D.J. Wilson,56,5.322734680001985,9.5049,0.32,5.322734680001985,0.1419749425770653,37.490662671779255
2023-24,1629651,Nic Claxton,8570,32.41456161334097,0.3782,0.32,32.41456161334097,0.8646035920229473,37.490662671779255
2023-24,1629646,Charles Bassey,887,7.885170888550319,0.889,0.32,7.885170888550319,0.21032359330596223,37.490662671779255
2023-24,1630611,Gui Santos,761,7.4588705855993735,0.9801,0.32,7.4588705855993735,0.1989527539403556,37.490662671779255
2023-24,1630560,Cam Thomas,8499,31.412316900153986,0.3696,0.31,31.412316900153986,0.8378704098980708,37.490662671779255
2023-24,1630696,Dru Smith,545,6.627244483563423,1.216,0.31,6.627244483563423,0.17677053461506348,37.490662671779255
2023-24,1626204,Larry Nance Jr.,4963,20.177717252816503,0.4066,0.31,20.177717252816503,0.5382064710209855,37.490662671779255
2023-24,1628991,Jaren Jackson Jr.,8792,31.722877708421624,0.3608,0.31,31.722877708421624,0.8461540940512828,37.490662671779255
2023-24,201152,Thaddeus Young,1771,10.203220277401755,0.5761,0.3,10.203220277401755,0.2721536390735001,37.490662671779255
2023-24,1629001,De'Anthony Melton,4246,17.607940407796534,0.4147,0.3,17.607940407796534,0.46966202123310946,37.490662671779255
2023-24,202699,Tobias Harris,9619,33.689774634840816,0.3502,0.3,33.689774634840816,0.8986177419638005,37.490662671779255
2023-24,1629638,Nickeil Alexander-Walker,7811,28.047277397677902,0.3591,0.3,28.047277397677902,0.7481136741493296,37.490662671779255
2023-24,1630202,Payton Pritchard,7214,26.005273067809945,0.3605,0.3,26.005273067809945,0.6936466633166548,37.490662671779255
2023-24,202691,Klay Thompson,9507,32.75051901969013,0.3445,0.29,32.75051901969013,0.8735646874639743,37.490662671779255
2023-24,1630193,Immanuel Quickley,8226,28.739993999383138,0.3494,0.29,28.739993999383138,0.7665907175606395,37.490662671779255
2023-24,203924,Jerami Grant,7446,26.095989911213632,0.3505,0.29,26.095989911213632,0.6960663816395314,37.490662671779255
2023-24,1628426,Sasha Vezenkov,2099,10.525969511305009,0.5015,0.28,10.525969511305009,0.28076242886014213,37.490662671779255
2023-24,201935,James Harden,9863,32.29177672465751,0.3274,0.28,32.29177672465751,0.8613285128450088,37.490662671779255
